编码,汉字,语言,语言用例,地名,地名用例,科学,科学用例,人文,人文用例,人名,人名用例,和字,备注
U+81B5,膵,,,,,,,,,,,,
U+81DB,臛,,,,,,,,,,,,
U+81DE,臞,,,,,,,,,,,,
U+81F2,臲,,,,,,,,,,,,
U+81FA,臺,,,,,,,,,,,,
U+81FF,臿,,,,,,,,,,,,
U+820B,舋,,,,,,,,,,,,
U+8251,艑,,,,,,,,,,,,
U+8255,艕,,,,,,,,,,,,
U+8256,艖,,,,,,,,,,,,
U+827B,艻,,,,,,,,,,,,
U+82A7,芧,,,,,,,,,,,,
U+82B6,芶,,,,,,,,,,,,
U+82C5,苅,,,,,,,,,,,,
U+82E2,苢,,,,,,,,,,,,
U+82F2,苲,,,,,,,,,,,,
U+82F6,苶,,,,,,,,,,,,
U+82FD,苽,,,,,,,,,,,,
U+8316,茖,,,,,,,,,,,,
U+8329,茩,,,,,,,,,,,,
U+834D,荍,,,,,,,,,,,,
U+83D1,菑,,,,,,,,,,,,
U+83F6,菶,,,,,,,,,,,,
U+83FB,菻,,,,,,,,,,,,
U+83FE,菾,,,,,,,,,,,,
U+8453,葓,,,,,,,,,,,,
U+8467,葧,,,,,,,,,,,,
U+8479,葹,,,,,,,,,,,,
U+84A0,蒠,,,,,,,,,,,,
U+84E8,蓨,,,,,,,,,,,,
U+84F7,蓷,,,,,,,,,,,,
U+84FA,蓺,,,,,,,,,,,,
U+8502,蔂,,,,,,,,,,,,
U+8527,蔧,,,,,,,,,,,,
U+8590,薐,,,,,,,,,,,,
U+8599,薙,,,,,,,,,,,,
U+85C2,藂,,,,,,,,,,,,
U+85CA,藊,,,,,,,,,,,,
U+85D1,藑,,,,,,,,,,,,
U+8661,虡,,,,,,,,,,,,
U+8663,虣,,,,,,,,,,,,
U+8669,虩,,,,,,,,,,,,
U+8683,蚃,,,,,,,,,,,,
U+869B,蚛,,,,,,,,,,,,
U+86A1,蚡,,,,,,,,,,,,
U+86BF,蚿,,,,,,,,,,,,
U+86C1,蛁,,,,,,,,,,,,
U+86E3,蛣,,,,,,,,,,,,
U+872F,蜯,,,,,,,,,,,,
U+8730,蜰,,,,,,,,,,,,
U+873A,蜺,,,,,,,,,,,,
U+873C,蜼,,,,,,,,,,,,
U+8742,蝂,,,,,,,,,,,,
U+8744,蝄,,,,,,,,,,,,
U+8780,螀,,,,,,,,,,,,
